Ecoli_kcat_high,Ecoli_kcat_low,Ecoli_kapp_high,Ecoli_kapp_low,Yeast_kcat_high,Yeast_kcat_low,Yeast_kapp_high,Yeast_kapp_low
945364,P62620,P61949,P08192,P06169,P09624,P28239,P08524
945528,P62620,P69441,P77689,P49095,P17505,P49095,P32347
948336,P21645,P00350,P0ADG7,P49089,P07277,P16451,P38795
946554,P0AFU8,P0A717,P0A6I3,P12684,P10869,P16603,P18408
948467,P0AEK2,P0A953,P0A6I3,P16451,P08566,P05150,P43619
946799,P0A6T5,P69441,P0A9B2,P49089,P41835,P15625,P38689
946153,P0A6P9,P00350,P25539,P38795,P00560,P21306,P22768
944818,P29680,P08373,P06983,P21147,P15019,P41939,P06773
948336,P0A7B3,P0A6E1,P0AFU8,P15624,P00815,P42941,P07263
946165,Q46893,Q47146,P0AD57,P00549,P05694,P05150,P21264
946802,P0A6I3,P22939,P04805,P36421,P00360,P07806,P50861
945060,P31120,Q47146,P62617,P17505,P03962,P39006,P11353
,,P21177,P62617,P00549,P41911,P37299,P41911
,,P0A6D3,P17443,P15624,P32784,P12695,P10614
,,P37329,P62620,P38009,P50861,P47143,P05694
,,P22188,P62620,P09457,P15180,P10659,P07263
,,,,P39692,P07264,P05150,P07251
,,,,P12684,P06633,P28239,P04039
,,,,P28789,P38077,P07264,P15180
,,,,P07285,P00942,P15624,P19097
,,,,P36421,P07283,P15454,P17423
,,,,P21954,P08524,P05150,P00815
,,,,P47052,P07143,P05375,P38077
,,,,P15625,P32178,P15625,P39954
,,,,P38840,P07277,P15454,P06208
,,,,P28272,P38169,P21306,P00359
,,,,P39006,P08566,P38627,P07251
,,,,P38795,P29952,P15454,P00927
,,,,P21147,P48015,P16622,P37254
,,,,P05375,P00815,P50113,P04037
,,,,P19097,P04161,P21147,P47119
,,,,P15625,P00360,P43567,P07702
,,,,P05626,P52910,P00912,P10869
,,,,P48445,P29704,P10659,P16120
,,,,P20049,P32264,P31116,P15700
,,,,P19097,P38077,P28240,P28272
,,,,P16387,P24521,P32622,P07255
,,,,P07172,P32895,P24521,P16387
,,,,P29509,P15700,P39692,P04802
,,,,P07264,P06633,P08525,P07251
,,,,P28272,P15019,P32347,P04173
,,,,P16622,P00830,P07264,P27616
,,,,P07172,P05375,P36010,P41338
,,,,P00560,P00958,P37291,P32473
,,,,P33330,P05694,P47125,P09624
,,,,P37012,P47119,P31116,P40825
,,,,P32473,P25340,P25340,P13298
,,,,P05626,P08566,P05150,P07257
,,,,P07264,P06208,P21147,P00830
,,,,P36010,P41835,P28789,P41940
,,,,P29509,P22768,P00498,P06633
,,,,P25340,P36013,P49095,P04161
,,,,P08417,P32799,P46655,P32476
,,,,P38009,P37299,P12709,P07149
,,,,P29509,P00427,P09624,P47096
,,,,P38840,P39006,P36010,P40545
,,,,P00815,P00890,P16387,P00931
,,,,P19262,P00927,P06197,P38891
,,,,P38999,P09436,P47164,P29704
,,,,P15454,P15700,P09457,P06633
,,,,P32473,P07285,P29704,P05626
,,,,P16451,P00942,P04801,P29509
,,,,P32462,P09436,P09436,P38998
,,,,P22803,P38169,P10174,P41911
,,,,P24521,P00899,P49095,P37299
,,,,P15625,P11353,P28274,P00958
,,,,P05150,P37292,P07256,P07149
,,,,P07149,P17423,P38009,P40825
,,,,P32178,P06633,P12709,P13188
,,,,P08525,P05694,P38998,P00498
,,,,P22803,P36148,P32462,P15700
,,,,P32347,P47119,P39708,P31688
,,,,P39522,P05375,P10659,P28777
,,,,P12709,P00427,P00128,P37254
,,,,P22803,P00830,P32347,P29509
,,,,P16862,P28789,P07256,P21375
,,,,P12709,P39006,P31116,P07285
,,,,P05150,P07256,P30902,P40545
,,,,P07264,P15454,P05150,P41835
,,,,P47011,P27472,P16622,P53848
,,,,P37291,P38145,P08465,P41835
,,,,P49367,P07143,P09436,P28789
,,,,P36010,P00899,P23254,P38891
,,,,P07702,P06633,P20049,P15454
,,,,P16622,P05375,P24521,P41835
,,,,P10869,P37299,P46969,P49095
,,,,P39522,P47176,P12709,P13188
,,,,P33312,P36148,P11353,P38998
,,,,P38689,P17423,P38009,P13188
,,,,P31688,P00815,P08525,P00815
,,,,P40510,P00498,P32861,P10614
,,,,P00927,P06208,P00128,P00815
,,,,P38840,P38066,P16603,P00931
,,,,P09950,P53090,P38077,P32622
,,,,P06197,P04173,P36010,P51601
,,,,P47164,P43619,P15180,P40012
,,,,P26637,P24521,P32473,P00127
,,,,P09624,P11986,P37012,P39954
,,,,P00958,P04037,P00950,P22803
,,,,P17505,P21306,P38077,P07245
,,,,P31688,P38689,P38972,P30902
,,,,P05150,P38858,P37291,P28272
,,,,P17423,P07263,P36013,P50095
,,,,P15700,P09950,P32347,P39006
,,,,P20049,P05375,P10869,P11986
,,,,P32179,P00899,P28272,P11353
,,,,P25340,P41835,P21264,P07807
,,,,P07256,P00498,P30902,P07256
,,,,P38635,P08067,P27472,P03962
,,,,P07284,P40495,P00830,P47096
