Ecoli_kcat_high,Ecoli_kcat_low,Ecoli_kapp_high,Ecoli_kapp_low,Yeast_kcat_high,Yeast_kcat_low,Yeast_kapp_high,Yeast_kapp_low
948409,946991,945068,945451,852902,852177,855309,853272
947854,946991,944818,944878,855149,856766,855131,851617
948324,944882,946799,946985,855227,856782,855131,856473
946799,945848,948336,948479,855131,852858,855131,856296
946398,945645,946153,948479,852842,854231,851322,850608
947315,949040,945553,947679,851322,850527,853273,856375
947315,945032,945772,945620,850733,853777,851493,854096
948467,948497,948324,947759,856173,855248,851068,856548
947415,947092,945293,945848,855653,856778,853273,856145
944791,948269,948467,947364,851414,851705,855303,854295
948125,948479,946165,946906,851237,855887,852247,854022
945535,947692,948269,945057,855768,850370,852247,851614
947692,946165,946370,945057,852017,851068,851322,854095
946165,947092,945772,946321,852271,850327,855653,856398
947414,947168,946799,946991,852952,856825,851414,856825
948324,947414,,946991,853122,853395,856173,852177
947092,947022,,948326,854347,856692,851193,856145
,946453,,944878,856147,854022,855135,851111
,945057,,945766,851493,851607,855552,851607
,946453,,946991,856229,854095,851013,855845
,,,,853357,852875,853273,856420
,,,,856268,852271,850370,856766
,,,,852952,852327,853830,850327
,,,,850522,854377,850749,855619
,,,,853541,850499,855260,853106
,,,,852842,851620,855845,852327
,,,,855786,853272,853183,852177
,,,,855298,851705,851892,855768
,,,,852986,854231,851237,856819
,,,,854090,856173,851493,852412
,,,,856539,851582,851892,852688
,,,,851605,855248,853777,853532
,,,,853357,852179,855986,856778
,,,,853311,852017,852842,850420
,,,,856296,853395,855131,853844
,,,,854095,856720,851322,853664
,,,,851820,851894,852179,852177
,,,,852317,852327,851617,851492
,,,,856804,850327,852902,856079
,,,,855845,855260,856442,856925
,,,,851894,853654,855298,850643
,,,,856470,851068,850370,852522
,,,,856720,850846,851894,854513
,,,,855857,856597,852317,854865
,,,,852464,853181,852412,856321
,,,,855131,853532,852017,853585
,,,,855943,853844,850522,851504
,,,,853510,854377,853273,854377
,,,,853567,851705,852551,852017
,,,,853086,853585,852902,853086
,,,,855857,855887,851587,853482
,,,,853585,853536,855260,850342
,,,,852235,856825,850499,854792
,,,,853602,855732,851013,851272
,,,,852464,856819,851617,854377
,,,,853357,852202,853585,850527
,,,,856313,851956,856670,856027
,,,,854690,852872,852522,854852
,,,,855845,855619,855248,853181
,,,,851139,852179,852550,853653
