Protein	Protein(Ensembl)	Gene_Id	Source ID	ratio	iCUB	tAI	T3s	C3s	A3s	G3s	CAI_CODONW	CBI	Fop_CODONW	Nc	GC3s	GC	L_sym	L_aa	Gravy	Aromo	CAI_EMBOSS	CAI_coRdon	MELP	E	GCB	Fop_coRdon	MILC_SELF	MILC_REF	B_SELF	B_REF	MCB_SELF	MCB_REF	ENC	ENC_prime_SELF	ENC_prime_REF	SCUO	Sc	St
P17649	YGR019W	CENPK1137D_2989	fluxes_Gecko_Lahtvee2017_Osmo04	2.44051964590798E-08	31.9119726483053	0.335823951996023	0.3962	0.2884	0.3833	0.2327	0.287	0.297	0.579	42.75	0.393	0.42	461	471	-0.419745	0.10828	0.663	0.726819642229649	1.43596838958708	1.04831139984061	-0.121849573156059	0.417204301075269	0.668085914600916	0.465251129095557	0.370164054043108	0.353105054566219	0.232599133206277	0.432827235722257	42.7543866422391	53.866840425705	48.133181944499	0.188969769032037	-0.0915	0.0524
P08465	YNL277W	CENPK1137D_2764	fluxes_Gecko_Yu2021_std_010	4.83026681447453E-08	33.5181087259291	0.311535001185915	0.359	0.2564	0.3404	0.2965	0.136	0.135	0.483	53.41	0.43	0.453	470	486	-0.263992	0.084362	0.495	0.601679371256182	1.01297126528703	0.527992827765058	-0.567203209557512	0.244725738396624	0.557513387166545	0.550374335651634	0.281379481681811	0.532922924110281	0.190153599657952	0.838809071891796	53.4075463383178	57.5501736177501	38.6368229392608	0.082345535338376	-0.004	0.0381
P08465	YNL277W	CENPK1137D_2764	fluxes_Gecko_Lahtvee2017_Osmo06	5.55368068455159E-08	33.5181087259291	0.311535001185915	0.359	0.2564	0.3404	0.2965	0.136	0.135	0.483	53.41	0.43	0.453	470	486	-0.263992	0.084362	0.495	0.601679371256182	1.01297126528703	0.527992827765058	-0.567203209557512	0.244725738396624	0.557513387166545	0.550374335651634	0.281379481681811	0.532922924110281	0.190153599657952	0.838809071891796	53.4075463383178	57.5501736177501	38.6368229392608	0.082345535338376	-0.004	0.0381
P17649	YGR019W	CENPK1137D_2989	fluxes_Gecko_Lahtvee2017_EtOH60	5.93080712305563E-08	31.9119726483053	0.335823951996023	0.3962	0.2884	0.3833	0.2327	0.287	0.297	0.579	42.75	0.393	0.42	461	471	-0.419745	0.10828	0.663	0.726819642229649	1.43596838958708	1.04831139984061	-0.121849573156059	0.417204301075269	0.668085914600916	0.465251129095557	0.370164054043108	0.353105054566219	0.232599133206277	0.432827235722257	42.7543866422391	53.866840425705	48.133181944499	0.188969769032037	-0.0915	0.0524
P38067	YBR006W	CENPK1137D_4550	fluxes_Gecko_Lahtvee2017_EtOH60	1.02805119235719E-07	39.2995065591265	0.29585290488485	0.4652	0.2139	0.3655	0.2011	0.195	0.201	0.525	45.77	0.324	0.408	484	497	-0.052918	0.090543	0.588	0.668068552635626	1.11639501716709	0.571850826941054	-0.344584957657629	0.379876796714579	0.511354848801587	0.458041142192818	0.221523050637757	0.387379085945768	0.105805704522366	0.501324391333491	45.7734215772547	61	47.3734458647167	0.137850446209603	-0.1138	0.0338
P38067	YBR006W	CENPK1137D_4550	fluxes_Gecko_Lahtvee2017_Osmo04	1.51709830538804E-07	39.2995065591265	0.29585290488485	0.4652	0.2139	0.3655	0.2011	0.195	0.201	0.525	45.77	0.324	0.408	484	497	-0.052918	0.090543	0.588	0.668068552635626	1.11639501716709	0.571850826941054	-0.344584957657629	0.379876796714579	0.511354848801587	0.458041142192818	0.221523050637757	0.387379085945768	0.105805704522366	0.501324391333491	45.7734215772547	61	47.3734458647167	0.137850446209603	-0.1138	0.0338
P08465	YNL277W	CENPK1137D_2764	fluxes_Gecko_Lahtvee2017_EtOH40	2.32840929163515E-07	33.5181087259291	0.311535001185915	0.359	0.2564	0.3404	0.2965	0.136	0.135	0.483	53.41	0.43	0.453	470	486	-0.263992	0.084362	0.495	0.601679371256182	1.01297126528703	0.527992827765058	-0.567203209557512	0.244725738396624	0.557513387166545	0.550374335651634	0.281379481681811	0.532922924110281	0.190153599657952	0.838809071891796	53.4075463383178	57.5501736177501	38.6368229392608	0.082345535338376	-0.004	0.0381
P38067	YBR006W	CENPK1137D_4550	fluxes_Gecko_Lahtvee2017_EtOH40	4.369668363586E-07	39.2995065591265	0.29585290488485	0.4652	0.2139	0.3655	0.2011	0.195	0.201	0.525	45.77	0.324	0.408	484	497	-0.052918	0.090543	0.588	0.668068552635626	1.11639501716709	0.571850826941054	-0.344584957657629	0.379876796714579	0.511354848801587	0.458041142192818	0.221523050637757	0.387379085945768	0.105805704522366	0.501324391333491	45.7734215772547	61	47.3734458647167	0.137850446209603	-0.1138	0.0338
P38067	YBR006W	CENPK1137D_4550	fluxes_Gecko_Yu2021_N30_010	4.89940227162211E-07	39.2995065591265	0.29585290488485	0.4652	0.2139	0.3655	0.2011	0.195	0.201	0.525	45.77	0.324	0.408	484	497	-0.052918	0.090543	0.588	0.668068552635626	1.11639501716709	0.571850826941054	-0.344584957657629	0.379876796714579	0.511354848801587	0.458041142192818	0.221523050637757	0.387379085945768	0.105805704522366	0.501324391333491	45.7734215772547	61	47.3734458647167	0.137850446209603	-0.1138	0.0338
P38067	YBR006W	CENPK1137D_4550	fluxes_Gecko_Yu2021_Phe_N30	5.00199078229807E-07	39.2995065591265	0.29585290488485	0.4652	0.2139	0.3655	0.2011	0.195	0.201	0.525	45.77	0.324	0.408	484	497	-0.052918	0.090543	0.588	0.668068552635626	1.11639501716709	0.571850826941054	-0.344584957657629	0.379876796714579	0.511354848801587	0.458041142192818	0.221523050637757	0.387379085945768	0.105805704522366	0.501324391333491	45.7734215772547	61	47.3734458647167	0.137850446209603	-0.1138	0.0338
P38066	YBL033C	CENPK1137D_4890	fluxes_Gecko_Lahtvee2017_Osmo02	7.34283457865771E-07	30.3707415980819	0.27374637891078	0.331	0.3275	0.3281	0.2754	0.112	0.042	0.417	54.9	0.47	0.481	336	345	-0.59971	0.055072	0.445	0.642103279165753	0.829696631698007	0.700132442258291	-0.644485414105505	0.333333333333333	0.666225917987204	0.80297531957403	0.41225173435874	0.588819642507944	0.327014456881332	1.1030306149445	54.902873559028	53.4784793748944	32.7817684545277	0.11899000715897	0.0361	0.0112
P05373	YGL040C	CENPK1137D_2930	fluxes_Gecko_Lahtvee2017_EtOH40	7.4263562765407E-07	30.4012395120184	0.283419327756315	0.4626	0.2211	0.3267	0.2267	0.203	0.202	0.512	48.11	0.347	0.435	334	342	-0.085965	0.087719	0.578	0.695517416034591	1.11456022302505	0.743024667227357	-0.3173964848489	0.44311377245509	0.591980274741952	0.531133502266253	0.306802700367565	0.412910518182954	0.163040712667079	0.56429167950268	48.1123845202513	57.9387511140899	43.3884957481062	0.177434113676493	-0.0859	0.0374
P06773	YHR144C	CENPK1137D_5293	fluxes_Gecko_Yu2021_Gln_N30	8.01178164359014E-07	28.3706929422466	0.279471937869752	0.4143	0.2151	0.4558	0.2039	0.128	-0.019	0.396	49.2	0.317	0.384	303	312	-0.289423	0.070513	0.502	0.69503185691494	0.677490888319752	0.533941314678455	-0.59018550181229	0.425742574257426	0.54578277642313	0.805594268251677	0.296389808481121	0.555098098485993	0.175397740904236	1.20838522879335	49.1976693435034	59.9927674587111	34.0985459724071	0.162336317612719	0.0747	0.0323
P06773	YHR144C	CENPK1137D_5293	fluxes_Gecko_Yu2021_Gln_glc2	1.01610004775703E-06	28.3706929422466	0.279471937869752	0.4143	0.2151	0.4558	0.2039	0.128	-0.019	0.396	49.2	0.317	0.384	303	312	-0.289423	0.070513	0.502	0.69503185691494	0.677490888319752	0.533941314678455	-0.59018550181229	0.425742574257426	0.54578277642313	0.805594268251677	0.296389808481121	0.555098098485993	0.175397740904236	1.20838522879335	49.1976693435034	59.9927674587111	34.0985459724071	0.162336317612719	0.0747	0.0323
P06773	YHR144C	CENPK1137D_5293	fluxes_Gecko_Yu2021_std_010	1.06788481098713E-06	28.3706929422466	0.279471937869752	0.4143	0.2151	0.4558	0.2039	0.128	-0.019	0.396	49.2	0.317	0.384	303	312	-0.289423	0.070513	0.502	0.69503185691494	0.677490888319752	0.533941314678455	-0.59018550181229	0.425742574257426	0.54578277642313	0.805594268251677	0.296389808481121	0.555098098485993	0.175397740904236	1.20838522879335	49.1976693435034	59.9927674587111	34.0985459724071	0.162336317612719	0.0747	0.0323
P17649	YGR019W	CENPK1137D_2989	fluxes_Gecko_Lahtvee2017_EtOH40	1.22895964140654E-06	31.9119726483053	0.335823951996023	0.3962	0.2884	0.3833	0.2327	0.287	0.297	0.579	42.75	0.393	0.42	461	471	-0.419745	0.10828	0.663	0.726819642229649	1.43596838958708	1.04831139984061	-0.121849573156059	0.417204301075269	0.668085914600916	0.465251129095557	0.370164054043108	0.353105054566219	0.232599133206277	0.432827235722257	42.7543866422391	53.866840425705	48.133181944499	0.188969769032037	-0.0915	0.0524
