Protein	Source ID	Standard Name	ratio	iCUB	tAI	T3s	C3s	A3s	G3s	CAI_CODONW	CBI	Fop_CODONW	Nc	GC3s	GC	L_sym	L_aa	Gravy	Aromo	CAI_EMBOSS	CAI_coRdon	MELP	E	GCB	Fop_coRdon	MILC_SELF	MILC_REF	B_SELF	B_REF	MCB_SELF	MCB_REF	ENC	ENC_prime_SELF	ENC_prime_REF	SCUO	Sc	St
P27247	fluxes_Gecko_GLC_CHEM_mu=0.41_P	plsX	4.77709181989062E-05	36.3291811414327	0.317240563746334	0.3288	0.25	0.26	0.3486	0.205	0.025	0.413	54.48	0.497	0.522	346	356	0.118258	0.042135	0.602	0.667249582384344	0.761916585594401	0.665602291966362	-0.527712475235397	0.345714285714286	0.695488036641748	0.912813882505485	0.413421752813472	0.621124292694541	0.498976598295773	2.34743026764905	54.480020136741	45.3582387461226	30.1238984366524	0.101139991350663	-0.0582	0.079
P27247	fluxes_Gecko_GLC_CHEM_mu=0.22_P	plsX	5.19119919219619E-05	36.3291811414327	0.317240563746334	0.3288	0.25	0.26	0.3486	0.205	0.025	0.413	54.48	0.497	0.522	346	356	0.118258	0.042135	0.602	0.667249582384344	0.761916585594401	0.665602291966362	-0.527712475235397	0.345714285714286	0.695488036641748	0.912813882505485	0.413421752813472	0.621124292694541	0.498976598295773	2.34743026764905	54.480020136741	45.3582387461226	30.1238984366524	0.101139991350663	-0.0582	0.079
P27247	fluxes_Gecko_GLC_CHEM_mu=0.50_S	plsX	0.000222648165028687	36.3291811414327	0.317240563746334	0.3288	0.25	0.26	0.3486	0.205	0.025	0.413	54.48	0.497	0.522	346	356	0.118258	0.042135	0.602	0.667249582384344	0.761916585594401	0.665602291966362	-0.527712475235397	0.345714285714286	0.695488036641748	0.912813882505485	0.413421752813472	0.621124292694541	0.498976598295773	2.34743026764905	54.480020136741	45.3582387461226	30.1238984366524	0.101139991350663	-0.0582	0.079
P27247	fluxes_Gecko_GLC_CHEM_mu=0.21_V	plsX	0.00049467000932019	36.3291811414327	0.317240563746334	0.3288	0.25	0.26	0.3486	0.205	0.025	0.413	54.48	0.497	0.522	346	356	0.118258	0.042135	0.602	0.667249582384344	0.761916585594401	0.665602291966362	-0.527712475235397	0.345714285714286	0.695488036641748	0.912813882505485	0.413421752813472	0.621124292694541	0.498976598295773	2.34743026764905	54.480020136741	45.3582387461226	30.1238984366524	0.101139991350663	-0.0582	0.079
P27247	fluxes_Gecko_GLC_CHEM_mu=0.51_P	plsX	0.000553490122019069	36.3291811414327	0.317240563746334	0.3288	0.25	0.26	0.3486	0.205	0.025	0.413	54.48	0.497	0.522	346	356	0.118258	0.042135	0.602	0.667249582384344	0.761916585594401	0.665602291966362	-0.527712475235397	0.345714285714286	0.695488036641748	0.912813882505485	0.413421752813472	0.621124292694541	0.498976598295773	2.34743026764905	54.480020136741	45.3582387461226	30.1238984366524	0.101139991350663	-0.0582	0.079
P27247	fluxes_Gecko_GLC_CHEM_mu=0.46_P	plsX	0.000671698782100441	36.3291811414327	0.317240563746334	0.3288	0.25	0.26	0.3486	0.205	0.025	0.413	54.48	0.497	0.522	346	356	0.118258	0.042135	0.602	0.667249582384344	0.761916585594401	0.665602291966362	-0.527712475235397	0.345714285714286	0.695488036641748	0.912813882505485	0.413421752813472	0.621124292694541	0.498976598295773	2.34743026764905	54.480020136741	45.3582387461226	30.1238984366524	0.101139991350663	-0.0582	0.079
P27247	fluxes_Gecko_PYR_BATCH_mu=0.4_S	plsX	0.000675773721122545	36.3291811414327	0.317240563746334	0.3288	0.25	0.26	0.3486	0.205	0.025	0.413	54.48	0.497	0.522	346	356	0.118258	0.042135	0.602	0.667249582384344	0.761916585594401	0.665602291966362	-0.527712475235397	0.345714285714286	0.695488036641748	0.912813882505485	0.413421752813472	0.621124292694541	0.498976598295773	2.34743026764905	54.480020136741	45.3582387461226	30.1238984366524	0.101139991350663	-0.0582	0.079
P27247	fluxes_Gecko_GLC_CHEM_mu=0.12_S	plsX	0.00169502751866531	36.3291811414327	0.317240563746334	0.3288	0.25	0.26	0.3486	0.205	0.025	0.413	54.48	0.497	0.522	346	356	0.118258	0.042135	0.602	0.667249582384344	0.761916585594401	0.665602291966362	-0.527712475235397	0.345714285714286	0.695488036641748	0.912813882505485	0.413421752813472	0.621124292694541	0.498976598295773	2.34743026764905	54.480020136741	45.3582387461226	30.1238984366524	0.101139991350663	-0.0582	0.079
P0A858	fluxes_Gecko_GAM_BATCH_mu=0.46_S	tpiA	0.0030259258709729	34.7395743650731	0.403286370939651	0.3535	0.3636	0.2683	0.2634	0.742	0.706	0.833	33.85	0.492	0.528	246	255	0.010196	0.05098	0.77	0.975145014397974	1.66669777885309	1.72696040659497	0.230038221123822	0.788844621513944	0.98094355624592	0.58855514700508	0.607833969624656	0.351967518944522	0.552741224573114	0.456455829491204	33.850097301275	40.6726574115523	53.0851392518606	0.443030848014004	-0.3153	0.6251
P00509	fluxes_Gecko_GLYC_BATCH_mu=0.47_S	aspC	0.0035942360635179	30.178780115408	0.36691036984964	0.3602	0.3727	0.2248	0.2847	0.476	0.389	0.648	44.53	0.522	0.524	383	396	-0.201515	0.090909	0.767	0.764369824189142	1.02646943630801	0.751257493543786	-0.0872852210161457	0.460358056265985	0.55060801673369	0.536409558100538	0.257226637443275	0.342394770972468	0.124190493974331	0.64509752368588	44.5349635849772	59.7965398403935	42.1911047719186	0.1976186779943	-0.1739	0.4025
P27247	fluxes_Gecko_GLC_CHEM_mu=0.11_V	plsX	0.00404074807602652	36.3291811414327	0.317240563746334	0.3288	0.25	0.26	0.3486	0.205	0.025	0.413	54.48	0.497	0.522	346	356	0.118258	0.042135	0.602	0.667249582384344	0.761916585594401	0.665602291966362	-0.527712475235397	0.345714285714286	0.695488036641748	0.912813882505485	0.413421752813472	0.621124292694541	0.498976598295773	2.34743026764905	54.480020136741	45.3582387461226	30.1238984366524	0.101139991350663	-0.0582	0.079
P00509	fluxes_Gecko_GLC_CHEM_mu=0.49_V	aspC	0.00436658568587187	30.178780115408	0.36691036984964	0.3602	0.3727	0.2248	0.2847	0.476	0.389	0.648	44.53	0.522	0.524	383	396	-0.201515	0.090909	0.767	0.764369824189142	1.02646943630801	0.751257493543786	-0.0872852210161457	0.460358056265985	0.55060801673369	0.536409558100538	0.257226637443275	0.342394770972468	0.124190493974331	0.64509752368588	44.5349635849772	59.7965398403935	42.1911047719186	0.1976186779943	-0.1739	0.4025
P00509	fluxes_Gecko_GLC_CHEM_mu=0.46_P	aspC	0.00443665568220818	30.178780115408	0.36691036984964	0.3602	0.3727	0.2248	0.2847	0.476	0.389	0.648	44.53	0.522	0.524	383	396	-0.201515	0.090909	0.767	0.764369824189142	1.02646943630801	0.751257493543786	-0.0872852210161457	0.460358056265985	0.55060801673369	0.536409558100538	0.257226637443275	0.342394770972468	0.124190493974331	0.64509752368588	44.5349635849772	59.7965398403935	42.1911047719186	0.1976186779943	-0.1739	0.4025
P00509	fluxes_Gecko_XYL_BATCH_mu=0.55_S	aspC	0.00502552544088862	30.178780115408	0.36691036984964	0.3602	0.3727	0.2248	0.2847	0.476	0.389	0.648	44.53	0.522	0.524	383	396	-0.201515	0.090909	0.767	0.764369824189142	1.02646943630801	0.751257493543786	-0.0872852210161457	0.460358056265985	0.55060801673369	0.536409558100538	0.257226637443275	0.342394770972468	0.124190493974331	0.64509752368588	44.5349635849772	59.7965398403935	42.1911047719186	0.1976186779943	-0.1739	0.4025
P00509	fluxes_Gecko_GLC_CHEM_mu=0.36_P	aspC	0.00776269243722588	30.178780115408	0.36691036984964	0.3602	0.3727	0.2248	0.2847	0.476	0.389	0.648	44.53	0.522	0.524	383	396	-0.201515	0.090909	0.767	0.764369824189142	1.02646943630801	0.751257493543786	-0.0872852210161457	0.460358056265985	0.55060801673369	0.536409558100538	0.257226637443275	0.342394770972468	0.124190493974331	0.64509752368588	44.5349635849772	59.7965398403935	42.1911047719186	0.1976186779943	-0.1739	0.4025
P00509	fluxes_Gecko_ACE_BATCH_mu=0.3_S	aspC	0.0078156402150326	30.178780115408	0.36691036984964	0.3602	0.3727	0.2248	0.2847	0.476	0.389	0.648	44.53	0.522	0.524	383	396	-0.201515	0.090909	0.767	0.764369824189142	1.02646943630801	0.751257493543786	-0.0872852210161457	0.460358056265985	0.55060801673369	0.536409558100538	0.257226637443275	0.342394770972468	0.124190493974331	0.64509752368588	44.5349635849772	59.7965398403935	42.1911047719186	0.1976186779943	-0.1739	0.4025
P52697	fluxes_Gecko_GLC_CHEM_mu=0.21_P	pgl	0.0248269226591234	30.5623566012094	0.322255370152785	0.3152	0.3659	0.1811	0.3826	0.374	0.225	0.547	43.74	0.591	0.553	320	331	-0.223565	0.07855	0.776	0.74699785681816	0.754782245041664	0.47087119375313	-0.26852810835049	0.392638036809816	0.510647257964094	0.676549112434284	0.22647945938651	0.480979644520895	0.0937069607597737	0.917412326797214	43.7402324384913	61	37.7559737747266	0.183883221223942	-0.0484	0.1866
P0AC53	fluxes_Gecko_GLC_CHEM_mu=0.21_P	zwf	0.0248269226591234	34.5169207779987	0.367565097518166	0.3307	0.3543	0.2356	0.3529	0.422	0.334	0.612	44.93	0.546	0.518	467	491	-0.373523	0.089613	0.777	0.755973160857222	0.864106602191698	0.566026798912272	-0.177856332622594	0.466804979253112	0.51125182426033	0.591653648940541	0.197077493834158	0.348176966555082	0.0966362142544134	0.801496752254225	44.9259039932738	61	41.5510513434884	0.196862281099911	-0.1548	0.3603
P0A6S7	fluxes_Gecko_GLC_CHEM_mu=0.11_V	gpsA	0.0309833314477998	35.1360789169218	0.336400221097001	0.3239	0.3592	0.1828	0.3294	0.332	0.253	0.561	48.88	0.567	0.569	326	339	-0.024779	0.053097	0.732	0.749737088561934	0.835815163140684	0.539719778675989	-0.263364361449733	0.501492537313433	0.496474123515156	0.593999900228646	0.219184197151614	0.406107402047234	0.125805067352386	0.73583108237445	48.8846232108419	60.970454470502	46.9244072751807	0.160330432792471	-0.1537	0.2134
P0AC53	fluxes_Gecko_GLC_CHEM_mu=0.49_V	zwf	0.0357386560316662	34.5169207779987	0.367565097518166	0.3307	0.3543	0.2356	0.3529	0.422	0.334	0.612	44.93	0.546	0.518	467	491	-0.373523	0.089613	0.777	0.755973160857222	0.864106602191698	0.566026798912272	-0.177856332622594	0.466804979253112	0.51125182426033	0.591653648940541	0.197077493834158	0.348176966555082	0.0966362142544134	0.801496752254225	44.9259039932738	61	41.5510513434884	0.196862281099911	-0.1548	0.3603
P52697	fluxes_Gecko_GLC_CHEM_mu=0.49_V	pgl	0.0357386560316662	30.5623566012094	0.322255370152785	0.3152	0.3659	0.1811	0.3826	0.374	0.225	0.547	43.74	0.591	0.553	320	331	-0.223565	0.07855	0.776	0.74699785681816	0.754782245041664	0.47087119375313	-0.26852810835049	0.392638036809816	0.510647257964094	0.676549112434284	0.22647945938651	0.480979644520895	0.0937069607597737	0.917412326797214	43.7402324384913	61	37.7559737747266	0.183883221223942	-0.0484	0.1866
P61949	fluxes_Gecko_GLC_CHEM_mu=0.49_V	fldA	0.0475938068214783	33.4574863133282	0.37723998028494	0.3696	0.4348	0.2846	0.2222	0.563	0.459	0.694	41.57	0.494	0.491	170	176	-0.284659	0.107955	0.784	0.952964257894007	1.05538278298955	1.12947970451203	0.00503843106455877	0.645714285714286	0.639260396976487	0.605714255794163	0.427980548144976	0.378918316491467	0.174579010853645	0.52546457987539	41.5681398581024	60.4021399531974	51.2756685462766	0.3409169649328	-0.3002	0.5256
