Protein	Source ID	Standard Name	ratio	EsExp	Es	Fluxes	iCUB	tAI	T3s	C3s	A3s	G3s	CAI_CODONW	CBI	Fop_CODONW	Nc	GC3s	GC	L_sym	L_aa	Gravy	Aromo	CAI_EMBOSS	CAI_coRdon	MELP	E	GCB	Fop_coRdon	MILC_SELF	MILC_REF	B_SELF	B_REF	MCB_SELF	MCB_REF	ENC	ENC_prime_SELF	ENC_prime_REF	SCUO	Sc	St
P27247	fluxes_kapp_Gecko_PYR_BATCH_mu=0.4_S	plsX	0.00072561106160651	9.7837062216E-09	7.09916545790139E-12	2.33840430332083E-05	36.3291811414327	0.317240563746334	0.3288	0.25	0.26	0.3486	0.205	0.025	0.413	54.48	0.497	0.522	346	356	0.118258	0.042135	0.602	0.667249582384344	0.761916585594401	0.665602291966362	-0.527712475235397	0.345714285714286	0.695488036641748	0.912813882505485	0.413421752813472	0.621124292694541	0.498976598295773	2.34743026764905	54.480020136741	45.3582387461226	30.1238984366524	0.101139991350663	-0.0582	0.079
P00509	fluxes_kapp_Gecko_GLYC_BATCH_mu=0.47_S	aspC	0.00189170319132521	1.16423264987044E-05	2.20238261920492E-08	0.688005904499992	30.178780115408	0.36691036984964	0.3602	0.3727	0.2248	0.2847	0.476	0.389	0.648	44.53	0.522	0.524	383	396	-0.201515	0.090909	0.767	0.764369824189142	1.02646943630801	0.751257493543786	-0.0872852210161457	0.460358056265985	0.55060801673369	0.536409558100538	0.257226637443275	0.342394770972468	0.124190493974331	0.64509752368588	44.5349635849772	59.7965398403935	42.1911047719186	0.1976186779943	-0.1739	0.4025
P00509	fluxes_kapp_Gecko_GLC_CHEM_mu=0.49_V	aspC	0.00250331868888113	1.23229844796323E-05	3.08483573506557E-08	0.717282751499988	30.178780115408	0.36691036984964	0.3602	0.3727	0.2248	0.2847	0.476	0.389	0.648	44.53	0.522	0.524	383	396	-0.201515	0.090909	0.767	0.764369824189142	1.02646943630801	0.751257493543786	-0.0872852210161457	0.460358056265985	0.55060801673369	0.536409558100538	0.257226637443275	0.342394770972468	0.124190493974331	0.64509752368588	44.5349635849772	59.7965398403935	42.1911047719186	0.1976186779943	-0.1739	0.4025
P00509	fluxes_kapp_Gecko_GLC_CHEM_mu=0.21_V	aspC	0.00677373117406752	6.4685471322622E-06	4.38161993607295E-08	0.584073097650001	30.178780115408	0.36691036984964	0.3602	0.3727	0.2248	0.2847	0.476	0.389	0.648	44.53	0.522	0.524	383	396	-0.201515	0.090909	0.767	0.764369824189142	1.02646943630801	0.751257493543786	-0.0872852210161457	0.460358056265985	0.55060801673369	0.536409558100538	0.257226637443275	0.342394770972468	0.124190493974331	0.64509752368588	44.5349635849772	59.7965398403935	42.1911047719186	0.1976186779943	-0.1739	0.4025
P0ABY4	fluxes_kapp_Gecko_GLC_CHEM_mu=0.41_P	fldB	0.0165076984467015	1.89687182579664E-06	3.13129880922951E-08	0.022294775	26.1471687492134	0.342892377778234	0.2946	0.4419	0.2333	0.3455	0.406	0.304	0.596	43.11	0.59	0.514	161	173	-0.231214	0.121387	0.739	0.840007948307787	0.877156293668433	0.913411960301047	-0.109924325713087	0.543352601156069	0.525044595365453	0.598575874283039	0.31239159942312	0.342005155395776	0.134272489295104	0.444714933918675	43.1060034438565	61	50.8778717000918	0.222064970924085	-0.1156	0.2122
P0A858	fluxes_kapp_Gecko_XYL_BATCH_mu=0.55_S	tpiA	0.0202210415717388	9.72326561901112E-08	1.96614558295082E-09	0.03885915	34.7395743650731	0.403286370939651	0.3535	0.3636	0.2683	0.2634	0.742	0.706	0.833	33.85	0.492	0.528	246	255	0.010196	0.05098	0.77	0.975145014397974	1.66669777885309	1.72696040659497	0.230038221123822	0.788844621513944	0.98094355624592	0.58855514700508	0.607833969624656	0.351967518944522	0.552741224573114	0.456455829491204	33.850097301275	40.6726574115523	53.0851392518606	0.443030848014004	-0.3153	0.6251
P0AC16	fluxes_kapp_Gecko_GLC_BATCH_mu=0.58_S	folB	0.0433456848329071	1.19893872978E-06	5.19688203150098E-08	0.000194009999999994	38.1109126087038	0.340066821255014	0.3125	0.2917	0.234	0.4405	0.342	0.198	0.53	49.79	0.556	0.514	117	122	0.045082	0.07377	0.747	0.838906523999797	0.830202398554464	0.767645078928696	-0.283824132255759	0.504201680672269	0.521869205916855	0.628604791826097	0.40647857776547	0.529513689233493	0.141956468116957	0.397022554063324	49.7897984717529	61	40.2319376072505	0.242606034948176	0.0471	0.1068
P0AC16	fluxes_kapp_Gecko_GLC_CHEM_mu=0.50_S	folB	0.045170766299533	0.0000009918075525	4.48007071680892E-08	0.000167249999999911	38.1109126087038	0.340066821255014	0.3125	0.2917	0.234	0.4405	0.342	0.198	0.53	49.79	0.556	0.514	117	122	0.045082	0.07377	0.747	0.838906523999797	0.830202398554464	0.767645078928696	-0.283824132255759	0.504201680672269	0.521869205916855	0.628604791826097	0.40647857776547	0.529513689233493	0.141956468116957	0.397022554063324	49.7897984717529	61	40.2319376072505	0.242606034948176	0.0471	0.1068
P0AC16	fluxes_kapp_Gecko_GLYC_BATCH_mu=0.47_S	folB	0.0451707662995497	9.32299099349999E-07	4.21126647380195E-08	0.000157214999999974	38.1109126087038	0.340066821255014	0.3125	0.2917	0.234	0.4405	0.342	0.198	0.53	49.79	0.556	0.514	117	122	0.045082	0.07377	0.747	0.838906523999797	0.830202398554464	0.767645078928696	-0.283824132255759	0.504201680672269	0.521869205916855	0.628604791826097	0.40647857776547	0.529513689233493	0.141956468116957	0.397022554063324	49.7897984717529	61	40.2319376072505	0.242606034948176	0.0471	0.1068
P0AC16	fluxes_kapp_Gecko_GLC_CHEM_mu=0.51_P	folB	0.0451707662995522	1.01164370355E-06	4.56967213114705E-08	0.000170594999999982	38.1109126087038	0.340066821255014	0.3125	0.2917	0.234	0.4405	0.342	0.198	0.53	49.79	0.556	0.514	117	122	0.045082	0.07377	0.747	0.838906523999797	0.830202398554464	0.767645078928696	-0.283824132255759	0.504201680672269	0.521869205916855	0.628604791826097	0.40647857776547	0.529513689233493	0.141956468116957	0.397022554063324	49.7897984717529	61	40.2319376072505	0.242606034948176	0.0471	0.1068
P0AC16	fluxes_kapp_Gecko_GLC_CHEM_mu=0.36_P	folB	0.0451707662995529	0.0000007141014378	3.22565091610386E-08	0.000120419999999989	38.1109126087038	0.340066821255014	0.3125	0.2917	0.234	0.4405	0.342	0.198	0.53	49.79	0.556	0.514	117	122	0.045082	0.07377	0.747	0.838906523999797	0.830202398554464	0.767645078928696	-0.283824132255759	0.504201680672269	0.521869205916855	0.628604791826097	0.40647857776547	0.529513689233493	0.141956468116957	0.397022554063324	49.7897984717529	61	40.2319376072505	0.242606034948176	0.0471	0.1068
P0AC16	fluxes_kapp_Gecko_GLC_CHEM_mu=0.35_S	folB	0.045170766299555	6.94265286749998E-07	3.13604950176777E-08	0.000117074999999994	38.1109126087038	0.340066821255014	0.3125	0.2917	0.234	0.4405	0.342	0.198	0.53	49.79	0.556	0.514	117	122	0.045082	0.07377	0.747	0.838906523999797	0.830202398554464	0.767645078928696	-0.283824132255759	0.504201680672269	0.521869205916855	0.628604791826097	0.40647857776547	0.529513689233493	0.141956468116957	0.397022554063324	49.7897984717529	61	40.2319376072505	0.242606034948176	0.0471	0.1068
P0AC16	fluxes_kapp_Gecko_GAM_BATCH_mu=0.46_S	folB	0.0451707662995571	0.0000009124629483	4.12166505946642E-08	0.00015387	38.1109126087038	0.340066821255014	0.3125	0.2917	0.234	0.4405	0.342	0.198	0.53	49.79	0.556	0.514	117	122	0.045082	0.07377	0.747	0.838906523999797	0.830202398554464	0.767645078928696	-0.283824132255759	0.504201680672269	0.521869205916855	0.628604791826097	0.40647857776547	0.529513689233493	0.141956468116957	0.397022554063324	49.7897984717529	61	40.2319376072505	0.242606034948176	0.0471	0.1068
P0AC16	fluxes_kapp_Gecko_XYL_BATCH_mu=0.55_S	folB	0.0451707662995577	1.09098830775E-06	4.92807778849252E-08	0.000183975000000003	38.1109126087038	0.340066821255014	0.3125	0.2917	0.234	0.4405	0.342	0.198	0.53	49.79	0.556	0.514	117	122	0.045082	0.07377	0.747	0.838906523999797	0.830202398554464	0.767645078928696	-0.283824132255759	0.504201680672269	0.521869205916855	0.628604791826097	0.40647857776547	0.529513689233493	0.141956468116957	0.397022554063324	49.7897984717529	61	40.2319376072505	0.242606034948176	0.0471	0.1068
P0AC16	fluxes_kapp_Gecko_PYR_BATCH_mu=0.4_S	folB	0.0451707662995583	0.000000793446042	3.58405657344914E-08	0.000133800000000003	38.1109126087038	0.340066821255014	0.3125	0.2917	0.234	0.4405	0.342	0.198	0.53	49.79	0.556	0.514	117	122	0.045082	0.07377	0.747	0.838906523999797	0.830202398554464	0.767645078928696	-0.283824132255759	0.504201680672269	0.521869205916855	0.628604791826097	0.40647857776547	0.529513689233493	0.141956468116957	0.397022554063324	49.7897984717529	61	40.2319376072505	0.242606034948176	0.0471	0.1068
P0AC16	fluxes_kapp_Gecko_GLC_CHEM_mu=0.46_P	folB	0.0451707662995612	0.0000009124629483	4.12166505946679E-08	0.000153870000000014	38.1109126087038	0.340066821255014	0.3125	0.2917	0.234	0.4405	0.342	0.198	0.53	49.79	0.556	0.514	117	122	0.045082	0.07377	0.747	0.838906523999797	0.830202398554464	0.767645078928696	-0.283824132255759	0.504201680672269	0.521869205916855	0.628604791826097	0.40647857776547	0.529513689233493	0.141956468116957	0.397022554063324	49.7897984717529	61	40.2319376072505	0.242606034948176	0.0471	0.1068
P0AC16	fluxes_kapp_Gecko_MAN_BATCH_mu=0.47_S	folB	0.0451707662995617	9.32299099349999E-07	4.21126647380307E-08	0.000157215000000016	38.1109126087038	0.340066821255014	0.3125	0.2917	0.234	0.4405	0.342	0.198	0.53	49.79	0.556	0.514	117	122	0.045082	0.07377	0.747	0.838906523999797	0.830202398554464	0.767645078928696	-0.283824132255759	0.504201680672269	0.521869205916855	0.628604791826097	0.40647857776547	0.529513689233493	0.141956468116957	0.397022554063324	49.7897984717529	61	40.2319376072505	0.242606034948176	0.0471	0.1068
P0AC16	fluxes_kapp_Gecko_GLC_CHEM_mu=0.49_V	folB	0.0451707662995625	9.7197140145E-07	4.39046930247562E-08	0.00016390500000002	38.1109126087038	0.340066821255014	0.3125	0.2917	0.234	0.4405	0.342	0.198	0.53	49.79	0.556	0.514	117	122	0.045082	0.07377	0.747	0.838906523999797	0.830202398554464	0.767645078928696	-0.283824132255759	0.504201680672269	0.521869205916855	0.628604791826097	0.40647857776547	0.529513689233493	0.141956468116957	0.397022554063324	49.7897984717529	61	40.2319376072505	0.242606034948176	0.0471	0.1068
P0AC16	fluxes_kapp_Gecko_GLC_CHEM_mu=0.41_P	folB	0.0451707662995633	8.13282193050001E-07	3.67365798778579E-08	0.000137145000000019	38.1109126087038	0.340066821255014	0.3125	0.2917	0.234	0.4405	0.342	0.198	0.53	49.79	0.556	0.514	117	122	0.045082	0.07377	0.747	0.838906523999797	0.830202398554464	0.767645078928696	-0.283824132255759	0.504201680672269	0.521869205916855	0.628604791826097	0.40647857776547	0.529513689233493	0.141956468116957	0.397022554063324	49.7897984717529	61	40.2319376072505	0.242606034948176	0.0471	0.1068
P0AC16	fluxes_kapp_Gecko_GLC_CHEM_mu=0.40_V	folB	0.0463000354570479	0.000000793446042	3.67365798778542E-08	0.000137145000000005	38.1109126087038	0.340066821255014	0.3125	0.2917	0.234	0.4405	0.342	0.198	0.53	49.79	0.556	0.514	117	122	0.045082	0.07377	0.747	0.838906523999797	0.830202398554464	0.767645078928696	-0.283824132255759	0.504201680672269	0.521869205916855	0.628604791826097	0.40647857776547	0.529513689233493	0.141956468116957	0.397022554063324	49.7897984717529	61	40.2319376072505	0.242606034948176	0.0471	0.1068
P0A6S7	fluxes_kapp_Gecko_GLC_CHEM_mu=0.11_V	gpsA	0.0539014081329974	0.0000019	1.02412675452695E-07	0.00764654	35.1360789169218	0.336400221097001	0.3239	0.3592	0.1828	0.3294	0.332	0.253	0.561	48.88	0.567	0.569	326	339	-0.024779	0.053097	0.732	0.749737088561934	0.835815163140684	0.539719778675989	-0.263364361449733	0.501492537313433	0.496474123515156	0.593999900228646	0.219184197151614	0.406107402047234	0.125805067352386	0.73583108237445	48.8846232108419	60.970454470502	46.9244072751807	0.160330432792471	-0.1537	0.2134
P21599	fluxes_kapp_Gecko_PYR_BATCH_mu=0.4_S	pykA	0.0581687133928361	1.6677544304637E-06	9.70111294752755E-08	8.15608128	36.0116491072734	0.374514746351742	0.33	0.3678	0.2302	0.2743	0.441	0.407	0.652	46.03	0.526	0.529	460	480	-0.024583	0.033333	0.741	0.741263209394644	1.19823537652254	0.892585797920189	-0.0935636599530693	0.453191489361702	0.533571661996949	0.445297870895329	0.24236318731992	0.271529289267933	0.134349507641113	0.58243030649379	46.0348810648203	59.755527890901	52.4375464648245	0.208672975741553	-0.2205	0.4019
P0A6I9	fluxes_kapp_Gecko_GLC_BATCH_mu=0.58_S	coaE	0.0622258032426075	2.2349873700001E-06	1.39073884335339E-07	0.000195460000000258	28.4002529947444	0.316986889167368	0.3609	0.3018	0.2331	0.3423	0.271	0.056	0.443	51.3	0.507	0.529	201	206	-0.115534	0.048544	0.675	0.728171636265699	0.77551761178124	0.766885838290597	-0.399835552312155	0.455445544554455	0.614774146273271	0.792727511192471	0.401951535438623	0.524134773872706	0.31346341087069	0.95183013995799	51.2991586014376	53.9728130026203	36.3706681436389	0.171223014041367	-0.1436	0.0919
