Protein	Source ID	Standard Name	ratio	iCUB	tAI	T3s	C3s	A3s	G3s	CAI_CODONW	CBI	Fop_CODONW	Nc	GC3s	GC	L_sym	L_aa	Gravy	Aromo	CAI_EMBOSS	CAI_coRdon	MELP	E	GCB	Fop_coRdon	MILC_SELF	MILC_REF	B_SELF	B_REF	MCB_SELF	MCB_REF	ENC	ENC_prime_SELF	ENC_prime_REF	SCUO	Sc	St
P27247	fluxes_kapp_Gecko_PYR_BATCH_mu=0.4_S	plsX	0.00072561106160651	36.3291811414327	0.317240563746334	0.3288	0.25	0.26	0.3486	0.205	0.025	0.413	54.48	0.497	0.522	346	356	0.118258	0.042135	0.602	0.667249582384344	0.761916585594401	0.665602291966362	-0.527712475235397	0.345714285714286	0.695488036641748	0.912813882505485	0.413421752813472	0.621124292694541	0.498976598295773	2.34743026764905	54.480020136741	45.3582387461226	30.1238984366524	0.101139991350663	-0.0582	0.079
P00509	fluxes_kapp_Gecko_GLYC_BATCH_mu=0.47_S	aspC	0.00189170319132521	30.178780115408	0.36691036984964	0.3602	0.3727	0.2248	0.2847	0.476	0.389	0.648	44.53	0.522	0.524	383	396	-0.201515	0.090909	0.767	0.764369824189142	1.02646943630801	0.751257493543786	-0.0872852210161457	0.460358056265985	0.55060801673369	0.536409558100538	0.257226637443275	0.342394770972468	0.124190493974331	0.64509752368588	44.5349635849772	59.7965398403935	42.1911047719186	0.1976186779943	-0.1739	0.4025
P00509	fluxes_kapp_Gecko_GLC_CHEM_mu=0.49_V	aspC	0.00250331868888113	30.178780115408	0.36691036984964	0.3602	0.3727	0.2248	0.2847	0.476	0.389	0.648	44.53	0.522	0.524	383	396	-0.201515	0.090909	0.767	0.764369824189142	1.02646943630801	0.751257493543786	-0.0872852210161457	0.460358056265985	0.55060801673369	0.536409558100538	0.257226637443275	0.342394770972468	0.124190493974331	0.64509752368588	44.5349635849772	59.7965398403935	42.1911047719186	0.1976186779943	-0.1739	0.4025
P00509	fluxes_kapp_Gecko_GLC_CHEM_mu=0.21_V	aspC	0.00677373117406752	30.178780115408	0.36691036984964	0.3602	0.3727	0.2248	0.2847	0.476	0.389	0.648	44.53	0.522	0.524	383	396	-0.201515	0.090909	0.767	0.764369824189142	1.02646943630801	0.751257493543786	-0.0872852210161457	0.460358056265985	0.55060801673369	0.536409558100538	0.257226637443275	0.342394770972468	0.124190493974331	0.64509752368588	44.5349635849772	59.7965398403935	42.1911047719186	0.1976186779943	-0.1739	0.4025
P0ABY4	fluxes_kapp_Gecko_GLC_CHEM_mu=0.41_P	fldB	0.0165076984467015	26.1471687492134	0.342892377778234	0.2946	0.4419	0.2333	0.3455	0.406	0.304	0.596	43.11	0.59	0.514	161	173	-0.231214	0.121387	0.739	0.840007948307787	0.877156293668433	0.913411960301047	-0.109924325713087	0.543352601156069	0.525044595365453	0.598575874283039	0.31239159942312	0.342005155395776	0.134272489295104	0.444714933918675	43.1060034438565	61	50.8778717000918	0.222064970924085	-0.1156	0.2122
P0A858	fluxes_kapp_Gecko_XYL_BATCH_mu=0.55_S	tpiA	0.0202210415717388	34.7395743650731	0.403286370939651	0.3535	0.3636	0.2683	0.2634	0.742	0.706	0.833	33.85	0.492	0.528	246	255	0.010196	0.05098	0.77	0.975145014397974	1.66669777885309	1.72696040659497	0.230038221123822	0.788844621513944	0.98094355624592	0.58855514700508	0.607833969624656	0.351967518944522	0.552741224573114	0.456455829491204	33.850097301275	40.6726574115523	53.0851392518606	0.443030848014004	-0.3153	0.6251
P0AC16	fluxes_kapp_Gecko_GLC_BATCH_mu=0.58_S	folB	0.0433456848329071	38.1109126087038	0.340066821255014	0.3125	0.2917	0.234	0.4405	0.342	0.198	0.53	49.79	0.556	0.514	117	122	0.045082	0.07377	0.747	0.838906523999797	0.830202398554464	0.767645078928696	-0.283824132255759	0.504201680672269	0.521869205916855	0.628604791826097	0.40647857776547	0.529513689233493	0.141956468116957	0.397022554063324	49.7897984717529	61	40.2319376072505	0.242606034948176	0.0471	0.1068
P0AC16	fluxes_kapp_Gecko_GLC_CHEM_mu=0.50_S	folB	0.045170766299533	38.1109126087038	0.340066821255014	0.3125	0.2917	0.234	0.4405	0.342	0.198	0.53	49.79	0.556	0.514	117	122	0.045082	0.07377	0.747	0.838906523999797	0.830202398554464	0.767645078928696	-0.283824132255759	0.504201680672269	0.521869205916855	0.628604791826097	0.40647857776547	0.529513689233493	0.141956468116957	0.397022554063324	49.7897984717529	61	40.2319376072505	0.242606034948176	0.0471	0.1068
P0AC16	fluxes_kapp_Gecko_GLYC_BATCH_mu=0.47_S	folB	0.0451707662995497	38.1109126087038	0.340066821255014	0.3125	0.2917	0.234	0.4405	0.342	0.198	0.53	49.79	0.556	0.514	117	122	0.045082	0.07377	0.747	0.838906523999797	0.830202398554464	0.767645078928696	-0.283824132255759	0.504201680672269	0.521869205916855	0.628604791826097	0.40647857776547	0.529513689233493	0.141956468116957	0.397022554063324	49.7897984717529	61	40.2319376072505	0.242606034948176	0.0471	0.1068
P0AC16	fluxes_kapp_Gecko_GLC_CHEM_mu=0.51_P	folB	0.0451707662995522	38.1109126087038	0.340066821255014	0.3125	0.2917	0.234	0.4405	0.342	0.198	0.53	49.79	0.556	0.514	117	122	0.045082	0.07377	0.747	0.838906523999797	0.830202398554464	0.767645078928696	-0.283824132255759	0.504201680672269	0.521869205916855	0.628604791826097	0.40647857776547	0.529513689233493	0.141956468116957	0.397022554063324	49.7897984717529	61	40.2319376072505	0.242606034948176	0.0471	0.1068
