Protein	Protein(Ensembl)	Gene_Id	Source ID	ratio	EsExp	Es	Fluxes	iCUB	tAI	T3s	C3s	A3s	G3s	CAI_CODONW	CBI	Fop_CODONW	Nc	GC3s	GC	L_sym	L_aa	Gravy	Aromo	CAI_EMBOSS	CAI_coRdon	MELP	E	GCB	Fop_coRdon	MILC_SELF	MILC_REF	B_SELF	B_REF	MCB_SELF	MCB_REF	ENC	ENC_prime_SELF	ENC_prime_REF	SCUO	Sc	St
P08465	YNL277W	CENPK1137D_2764	fluxes_kapp_Gecko_Yu2021_std_010	4.83026681447453E-08	0.00005247548629	2.534706E-12	0.0000001188	33.5181087259291	0.311535001185915	0.359	0.2564	0.3404	0.2965	0.136	0.135	0.483	53.41	0.43	0.453	470	486	-0.263992	0.084362	0.495	0.601679371256182	1.01297126528703	0.527992827765058	-0.567203209557512	0.244725738396624	0.557513387166545	0.550374335651634	0.281379481681811	0.532922924110281	0.190153599657952	0.838809071891796	53.4075463383178	57.5501736177501	38.6368229392608	0.082345535338376	-0.004	0.0381
P08465	YNL277W	CENPK1137D_2764	fluxes_kapp_Gecko_Lahtvee2017_Osmo06	5.55368068455159E-08	5.93946643201063E-05	3.29859E-12	0.0000001188	33.5181087259291	0.311535001185915	0.359	0.2564	0.3404	0.2965	0.136	0.135	0.483	53.41	0.43	0.453	470	486	-0.263992	0.084362	0.495	0.601679371256182	1.01297126528703	0.527992827765058	-0.567203209557512	0.244725738396624	0.557513387166545	0.550374335651634	0.281379481681811	0.532922924110281	0.190153599657952	0.838809071891796	53.4075463383178	57.5501736177501	38.6368229392608	0.082345535338376	-0.004	0.0381
P08465	YNL277W	CENPK1137D_2764	fluxes_kapp_Gecko_Lahtvee2017_EtOH60	5.5609195460216E-08	5.93173480159389E-05	3.29859E-12	0.0000001188	33.5181087259291	0.311535001185915	0.359	0.2564	0.3404	0.2965	0.136	0.135	0.483	53.41	0.43	0.453	470	486	-0.263992	0.084362	0.495	0.601679371256182	1.01297126528703	0.527992827765058	-0.567203209557512	0.244725738396624	0.557513387166545	0.550374335651634	0.281379481681811	0.532922924110281	0.190153599657952	0.838809071891796	53.4075463383178	57.5501736177501	38.6368229392608	0.082345535338376	-0.004	0.0381
P08465	YNL277W	CENPK1137D_2764	fluxes_kapp_Gecko_Yu2021_Gln_glc2	5.9049556746652E-08	0.00005879557733	3.47185278E-12	0.0000001188	33.5181087259291	0.311535001185915	0.359	0.2564	0.3404	0.2965	0.136	0.135	0.483	53.41	0.43	0.453	470	486	-0.263992	0.084362	0.495	0.601679371256182	1.01297126528703	0.527992827765058	-0.567203209557512	0.244725738396624	0.557513387166545	0.550374335651634	0.281379481681811	0.532922924110281	0.190153599657952	0.838809071891796	53.4075463383178	57.5501736177501	38.6368229392608	0.082345535338376	-0.004	0.0381
P17649	YGR019W	CENPK1137D_2989	fluxes_kapp_Gecko_Yu2020_CN30	2.1215124177131E-07	9.69276438276349E-06	2.056332E-12	0.0000002376	31.9119726483053	0.335823951996023	0.3962	0.2884	0.3833	0.2327	0.287	0.297	0.579	42.75	0.393	0.42	461	471	-0.419745	0.10828	0.663	0.726819642229649	1.43596838958708	1.04831139984061	-0.121849573156059	0.417204301075269	0.668085914600916	0.465251129095557	0.370164054043108	0.353105054566219	0.232599133206277	0.432827235722257	42.7543866422391	53.866840425705	48.133181944499	0.188969769032037	-0.0915	0.0524
P08465	YNL277W	CENPK1137D_2764	fluxes_kapp_Gecko_Lahtvee2017_EtOH40	2.32840929163515E-07	1.41667103453428E-05	3.29859E-12	0.0000001188	33.5181087259291	0.311535001185915	0.359	0.2564	0.3404	0.2965	0.136	0.135	0.483	53.41	0.43	0.453	470	486	-0.263992	0.084362	0.495	0.601679371256182	1.01297126528703	0.527992827765058	-0.567203209557512	0.244725738396624	0.557513387166545	0.550374335651634	0.281379481681811	0.532922924110281	0.190153599657952	0.838809071891796	53.4075463383178	57.5501736177501	38.6368229392608	0.082345535338376	-0.004	0.0381
P38067	YBR006W	CENPK1137D_4550	fluxes_kapp_Gecko_Lahtvee2017_Osmo06	2.34234170792709E-07	5.98193677403287E-06	1.401174E-12	0.0000001188	39.2995065591265	0.29585290488485	0.4652	0.2139	0.3655	0.2011	0.195	0.201	0.525	45.77	0.324	0.408	484	497	-0.052918	0.090543	0.588	0.668068552635626	1.11639501716709	0.571850826941054	-0.344584957657629	0.379876796714579	0.511354848801587	0.458041142192818	0.221523050637757	0.387379085945768	0.105805704522366	0.501324391333491	45.7734215772547	61	47.3734458647167	0.137850446209603	-0.1138	0.0338
P08465	YNL277W	CENPK1137D_2764	fluxes_kapp_Gecko_Yu2021_N30_018	2.65922420105051E-07	0.0000223277977	5.937462E-12	0.0000002052	33.5181087259291	0.311535001185915	0.359	0.2564	0.3404	0.2965	0.136	0.135	0.483	53.41	0.43	0.453	470	486	-0.263992	0.084362	0.495	0.601679371256182	1.01297126528703	0.527992827765058	-0.567203209557512	0.244725738396624	0.557513387166545	0.550374335651634	0.281379481681811	0.532922924110281	0.190153599657952	0.838809071891796	53.4075463383178	57.5501736177501	38.6368229392608	0.082345535338376	-0.004	0.0381
P17649	YGR019W	CENPK1137D_2989	fluxes_kapp_Gecko_Yu2020_Clim	3.08979467695862E-07	6.65523834102825E-06	2.056332E-12	0.0000002376	31.9119726483053	0.335823951996023	0.3962	0.2884	0.3833	0.2327	0.287	0.297	0.579	42.75	0.393	0.42	461	471	-0.419745	0.10828	0.663	0.726819642229649	1.43596838958708	1.04831139984061	-0.121849573156059	0.417204301075269	0.668085914600916	0.465251129095557	0.370164054043108	0.353105054566219	0.232599133206277	0.432827235722257	42.7543866422391	53.866840425705	48.133181944499	0.188969769032037	-0.0915	0.0524
P38067	YBR006W	CENPK1137D_4550	fluxes_kapp_Gecko_Yu2021_Ile_N30	3.61014021943027E-07	0.000003881217667	1.401174E-12	0.000000114	39.2995065591265	0.29585290488485	0.4652	0.2139	0.3655	0.2011	0.195	0.201	0.525	45.77	0.324	0.408	484	497	-0.052918	0.090543	0.588	0.668068552635626	1.11639501716709	0.571850826941054	-0.344584957657629	0.379876796714579	0.511354848801587	0.458041142192818	0.221523050637757	0.387379085945768	0.105805704522366	0.501324391333491	45.7734215772547	61	47.3734458647167	0.137850446209603	-0.1138	0.0338
